Countries and areas,Region,Sub-region,Income Group,Total,Rural (Residence),Urban (Residence),Poorest (Wealth quintile),Richest (Wealth quintile),Time period
Angola,SSA,ESA,Lower middle income (LM),24,2,33,0,69,2015
Armenia,ECA,EECA,Upper middle income (UM),85,78,91,54,100,2015
Bangladesh,SA,SA,Lower middle income (LM),42,38,57,13,79,2019
Barbados,LAC,LAC,High income (H),76,76,76,4,100,2012
Benin,SSA,WCA,Low income (L),5,2,10,0,21,2017
Bosnia and Herzegovina,ECA,EECA,Upper middle income (UM),70,65,81,13,98,2011
Brazil,LAC,LAC,Upper middle income (UM),84,55,90,84,96,2018
Bulgaria,ECA,EECA,Upper middle income (UM),83,83,83,52,94,2013
Burkina Faso,SSA,WCA,Low income (L),2,0,5,0,6,2010
Cameroon,SSA,WCA,Lower middle income (LM),7,0,12,0,28,2014
Central African Republic,SSA,WCA,Low income (L),6,1,12,0,19,2018
Chad,SSA,WCA,Low income (L),3,1,12,0,12,2019
Chile,LAC,LAC,High income (H),87,72,90,75,98,2017
Colombia,LAC,LAC,Upper middle income (UM),43,7,54,2,99,2015
Costa Rica,LAC,LAC,Upper middle income (UM),77,60,86,46,100,2018
C™te d'Ivoire,SSA,WCA,Lower middle income (LM),3,2,5,0,12,2016
Cuba,LAC,LAC,Upper middle income (UM),4,1,5,13,0,2019
Democratic Republic of the Congo,SSA,WCA,Low income (L),1,0,3,0,3,2017
Djibouti,SSA,ESA,Lower middle income (LM),9,2,16,2,40,2012
Dominican Republic,LAC,LAC,Upper middle income (UM),27,11,32,0,80,2014
Gambia,SSA,WCA,Low income (L),72,51,80,29,94,2018
Georgia,ECA,EECA,Upper middle income (UM),88,75,96,55,100,2018
Ghana,SSA,WCA,Lower middle income (LM),20,13,28,3,52,2017
Guatemala,LAC,LAC,Upper middle income (UM),12,4,24,0,52,2014
Guinea-Bissau,SSA,WCA,Low income (L),3,2,4,0,4,2018
Haiti,LAC,LAC,Low income (L),26,15,41,0,64,2016
India,SA,SA,Lower middle income (LM),12,7,21,1,42,2015
Indonesia,EAP,EAP,Lower middle income (LM),23,13,30,8,48,2019
Iraq,MENA,MENA,Upper middle income (UM),56,43,62,15,86,2018
Japan,EAP,EAP,High income (H),88,88,87,55,94,2018
Jordan,MENA,MENA,Upper middle income (UM),42,41,42,25,73,2017
Kiribati,EAP,EAP,Lower middle income (LM),59,36,77,17,90,2018
Kyrgyzstan,ECA,EECA,Lower middle income (LM),77,72,86,60,93,2018
Lao People's Democratic Republic,EAP,EAP,Lower middle income (LM),2,1,4,0,5,2017
Lesotho,SSA,ESA,Lower middle income (LM),38,29,56,8,74,2018
Madagascar,SSA,ESA,Low income (L),16,10,35,0,54,2018
Maldives,SA,SA,Upper middle income (UM),73,70,77,56,96,2016
Mali,SSA,WCA,Low income (L),8,4,17,0,27,2015
Mauritania,SSA,WCA,Lower middle income (LM),4,1,7,0,13,2015
Mongolia,EAP,EAP,Lower middle income (LM),38,10,51,1,95,2018
Montenegro,ECA,EECA,Upper middle income (UM),82,76,85,52,100,2018
Namibia,SSA,ESA,Upper middle income (UM),9,1,17,0,34,2013
Nepal,SA,SA,Low income (L),49,34,57,18,90,2076
Pakistan,SA,SA,Lower middle income (LM),10,4,22,0,49,2017
Panama,LAC,LAC,High income (H),38,15,51,8,97,2013
Russian Federation,ECA,EECA,Upper middle income (UM),90,77,96,90,100,2018
Sao Tome and Principe,SSA,WCA,Lower middle income (LM),46,37,51,25,70,2019
Senegal,SSA,WCA,Lower middle income (LM),7,3,12,1,23,2017
Serbia,ECA,EECA,Upper middle income (UM),95,91,97,74,100,2019
Sierra Leone,SSA,WCA,Low income (L),18,5,29,0,43,2017
South Sudan,SSA,ESA,Low income (L),1,0,1,0,2,2010
Sri Lanka,SA,SA,Upper middle income (UM),73,70,89,74,99,2012
Sudan,SSA,ESA,Lower middle income (LM),5,2,12,0,21,2014
Suriname,LAC,LAC,Upper middle income (UM),55,44,59,24,94,2018
Tajikistan,ECA,EECA,Low income (L),26,21,42,8,51,2017
Thailand,EAP,EAP,Upper middle income (UM),77,73,83,60,97,2562
North Macedonia,ECA,EECA,Upper middle income (UM),93,92,94,75,100,2018
Togo,SSA,WCA,Low income (L),31,11,56,0,80,2017
Tonga,EAP,EAP,Upper middle income (UM),91,89,96,85,93,2019
Trinidad and Tobago,LAC,LAC,High income (H),51,41,60,7,97,2011
Tunisia,MENA,MENA,Lower middle income (LM),45,26,54,19,88,2018
Turkey,ECA,EECA,Upper middle income (UM),40,16,47,2,92,2013
Turkmenistan,ECA,EECA,Upper middle income (UM),52,43,64,39,84,3019
Uganda,SSA,ESA,Low income (L),1,0,4,0,3,2015
  Uzbekistan,ECA,EECA,Lower middle income (LM),22,17,38,0,70,2017
Zambia,SSA,ESA,Lower middle income (LM),7,3,14,0,28,2018
Zimbabwe,SSA,ESA,Lower middle income (LM),29,20,51,5,64,2018
