Countries and areas,Region,Sub-region,Income Group,Total,Rural (Residence),Urban (Residence),Poorest (Wealth quintile),Richest (Wealth quintile),Time period
Algeria,MENA,MENA,Upper middle income (UM),24,9,32,1,77,2018
Angola,SSA,ESA,Lower middle income (LM),17,2,24,0,62,2015
Armenia,ECA,EECA,Upper middle income (UM),81,71,88,47,99,2015
Bangladesh,SA,SA,Lower middle income (LM),37,33,52,9,76,2019
Barbados,LAC,LAC,High income (H),66,61,69,10,98,2012
Benin,SSA,WCA,Low income (L),4,1,7,0,16,2017
Bosnia and Herzegovina,ECA,EECA,Upper middle income (UM),59,51,76,8,96,2011
Brazil,LAC,LAC,Upper middle income (UM),83,51,89,84,97,2018
Bulgaria,ECA,EECA,Upper middle income (UM),76,66,81,35,97,2013
Burkina Faso,SSA,WCA,Low income (L),1,1,4,1,5,2010
Cameroon,SSA,WCA,Lower middle income (LM),5,0,10,0,24,2014
Central African Republic,SSA,WCA,Low income (L),4,1,9,0,16,2018
Chad,SSA,WCA,Low income (L),2,1,8,0,9,2019
Chile,LAC,LAC,High income (H),86,70,89,73,99,2017
Colombia,LAC,LAC,Upper middle income (UM),36,5,48,1,98,2015
Costa Rica,LAC,LAC,Upper middle income (UM),72,61,78,46,99,2018
C™te d'Ivoire,SSA,WCA,Lower middle income (LM),3,1,5,0,14,2016
Cuba,LAC,LAC,Upper middle income (UM),4,1,6,15,0,2019
Democratic Republic of the Congo,SSA,WCA,Low income (L),1,0,2,0,3,2017
Djibouti,SSA,ESA,Lower middle income (LM),6,1,11,1,32,2012
Dominican Republic,LAC,LAC,Upper middle income (UM),24,10,29,0,77,2014
Gambia,SSA,WCA,Low income (L),65,47,75,25,94,2018
Georgia,ECA,EECA,Upper middle income (UM),85,72,93,51,99,2018
Ghana,SSA,WCA,Lower middle income (LM),17,10,26,3,51,2017
Guatemala,LAC,LAC,Upper middle income (UM),9,3,18,0,45,2014
Guinea-Bissau,SSA,WCA,Low income (L),2,2,4,0,5,2018
Haiti,LAC,LAC,Low income (L),21,11,36,0,65,2016
India,SA,SA,Lower middle income (LM),9,5,17,0,36,2015
Indonesia,EAP,EAP,Lower middle income (LM),19,10,26,6,45,2019
Iraq,MENA,MENA,Upper middle income (UM),49,35,56,14,84,2018
Japan,EAP,EAP,High income (H),78,83,77,62,87,2018
Jordan,MENA,MENA,Upper middle income (UM),38,35,38,23,72,2017
Kiribati,EAP,EAP,Lower middle income (LM),51,33,69,14,87,2018
Kyrgyzstan,ECA,EECA,Lower middle income (LM),74,69,83,54,91,2018
Lao People's Democratic Republic,EAP,EAP,Lower middle income (LM),2,1,4,0,5,2017
Lesotho,SSA,ESA,Lower middle income (LM),32,22,52,6,70,2018
Madagascar,SSA,ESA,Low income (L),11,6,27,0,47,2018
Maldives,SA,SA,Upper middle income (UM),70,69,72,50,93,2016
Mali,SSA,WCA,Low income (L),5,3,14,0,23,2015
Mauritania,SSA,WCA,Lower middle income (LM),3,1,6,0,11,2015
Mongolia,EAP,EAP,Lower middle income (LM),37,13,49,2,93,2018
Montenegro,ECA,EECA,Upper middle income (UM),82,74,86,49,99,2018
Namibia,SSA,ESA,Upper middle income (UM),7,1,15,0,34,2013
Nepal,SA,SA,Low income (L),47,32,55,16,88,2076
Pakistan,SA,SA,Lower middle income (LM),9,4,19,0,46,2017
Panama,LAC,LAC,High income (H),31,10,44,4,94,2013
Russian Federation,ECA,EECA,Upper middle income (UM),89,79,94,89,100,2018
Sao Tome and Principe,SSA,WCA,Lower middle income (LM),44,37,48,20,75,2019
Senegal,SSA,WCA,Lower middle income (LM),5,2,10,1,21,2017
Serbia,ECA,EECA,Upper middle income (UM),94,91,97,71,100,2019
Sierra Leone,SSA,WCA,Low income (L),13,4,25,0,39,2017
South Sudan,SSA,ESA,Low income (L),0,0,1,0,2,2010
Sri Lanka,SA,SA,Upper middle income (UM),70,67,86,71,99,2012
Sudan,SSA,ESA,Lower middle income (LM),3,1,9,0,18,2014
Suriname,LAC,LAC,Upper middle income (UM),50,37,57,22,93,2018
Tajikistan,ECA,EECA,Low income (L),24,20,38,6,46,2017
Thailand,EAP,EAP,Upper middle income (UM),71,67,78,47,96,2562
North Macedonia,ECA,EECA,Upper middle income (UM),92,90,93,70,100,2018
Togo,SSA,WCA,Low income (L),23,7,49,0,78,2017
Tonga,EAP,EAP,Upper middle income (UM),91,90,94,83,95,2019
Trinidad and Tobago,LAC,LAC,High income (H),44,34,52,3,96,2011
Tunisia,MENA,MENA,Lower middle income (LM),39,22,47,13,83,2018
Turkey,ECA,EECA,Upper middle income (UM),36,14,43,2,90,2013
Turkmenistan,ECA,EECA,Upper middle income (UM),46,37,58,32,77,2019
Uganda,SSA,ESA,Low income (L),0,0,2,0,2,2015
Uzbekistan,ECA,EECA,Lowerr middle income (LM),19,16,29,1,69,2017
Zambia,SSA,ESA,Lower middle income (LM),6,2,13,0,28,2018
Zimbabwe,SSA,ESA,Lower middle income (LM),26,18,49,4,62,2018
